ISO3,Area,AREA_CONT,Element,Year,Unit,Value,TOTAL,CONS_AGUA_LITROS_DIA,EQUIVALENCIA L/M3,LITROS_TOTAL_POBLACION,M3,M3_YEAR,COBERTURA DE AGUA,BASE,POBLACION_CON_AGUA
,Africa,Sub-Saharan Africa,Total Population,2019,1000,1308064.195,1308064195,47,1000,61479017165,61479017.17,22439841265,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2020,1000,1340598.147,1340598147,47,1000,63008112909,63008112.91,22997961212,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2021,1000,1373486.524,1373486524,47,1000,64553866628,64553866.63,23562161319,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2022,1000,1406728.744,1406728744,47,1000,66116250968,66116250.97,24132431603,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2023,1000,1440353.458,1440353458,47,1000,67696612526,67696612.53,24709263572,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2024,1000,1474410.446,1474410446,47,1000,69297290962,69297290.96,25293511201,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2025,1000,1508935.218,1508935218,47,1000,70919955246,70919955.25,25885783665,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2026,1000,1543926.362,1543926362,47,1000,72564539014,72564539.01,26486056740,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2027,1000,1579364.731,1579364731,47,1000,74230142357,74230142.36,27094001960,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2028,1000,1615247.405,1615247405,47,1000,75916628035,75916628.04,27709569233,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2029,1000,1651568.625,1651568625,47,1000,77623725375,77623725.38,28332659762,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2030,1000,1688321.099,1688321099,47,1000,79351091653,79351091.65,28963148453,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2031,1000,1725497.933,1725497933,47,1000,81098402851,81098402.85,29600917041,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2032,1000,1763089.32,1763089320,47,1000,82865198040,82865198.04,30245797285,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2033,1000,1801080.832,1801080832,47,1000,84650799104,84650799.1,30897541673,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2034,1000,1839454.865,1839454865,47,1000,86454378655,86454378.66,31555848209,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2035,1000,1878193.685,1878193685,47,1000,88275103195,88275103.2,32220412666,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2036,1000,1917281.457,1917281457,47,1000,90112228479,90112228.48,32890963395,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2037,1000,1956701.778,1956701778,47,1000,91964983566,91964983.57,33567219002,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2038,1000,1996434.428,1996434428,47,1000,93832418116,93832418.12,34248832612,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2039,1000,2036457.743,2036457743,47,1000,95713513921,95713513.92,34935432581,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2040,1000,2076749.529,2076749529,47,1000,97607227863,97607227.86,35626638170,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2041,1000,2117291.262,2117291262,47,1000,99512689314,99512689.31,36322131600,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2042,1000,2158061.493,2158061493,47,1000,1.01E+11,101428890.2,37021544912,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2043,1000,2199032.026,2199032026,47,1000,1.03E+11,103354505.2,37724394406,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2044,1000,2240171.703,2240171703,47,1000,1.05E+11,105288070,38430145565,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2045,1000,2281452.464,2281452464,47,1000,1.07E+11,107228265.8,39138317020,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2046,1000,2322851.738,2322851738,47,1000,1.09E+11,109174031.7,39848521565,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2047,1000,2364351.155,2364351155,47,1000,1.11E+11,111124504.3,40560444064,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2048,1000,2405932.615,2405932615,47,1000,1.13E+11,113078832.9,41273774010,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2049,1000,2447579.612,2447579612,47,1000,1.15E+11,115036241.8,41988228244,0.3,1308064195,392419259
,Africa,Sub-Saharan Africa,Total Population,2050,1000,2489275.458,2489275458,47,1000,1.17E+11,116995946.5,42703520482,0.3,1308064195,392419259
