Ambito,Area,Elemento,Producto,Year,Unidad,Valor
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1990,mil toneladas,1009396.743
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1991,mil toneladas,1010137.119
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1992,mil toneladas,1011103.605
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1993,mil toneladas,1011223.123
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1994,mil toneladas,1012169.861
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1995,mil toneladas,1013372.9
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1996,mil toneladas,1014633.107
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1997,mil toneladas,1014449.284
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1998,mil toneladas,1015606.908
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,1999,mil toneladas,1016711.78
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2000,mil toneladas,1016782.379
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2001,mil toneladas,1015252.858
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2002,mil toneladas,1015878.61
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2003,mil toneladas,1016124.181
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2004,mil toneladas,1016150.23
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2005,mil toneladas,1019834.45
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2006,mil toneladas,1021664.359
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2007,mil toneladas,1024228.477
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2008,mil toneladas,1025147.618
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2009,mil toneladas,1026827.79
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2010,mil toneladas,1026874.897
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2011,mil toneladas,1232632.406
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2012,mil toneladas,1234666.693
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2013,mil toneladas,1231714.043
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2014,mil toneladas,1233258.633
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2015,mil toneladas,1231907.971
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2016,mil toneladas,1238597.146
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2017,mil toneladas,1239893.47
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2018,mil toneladas,1235614.423
Totales de las emisiones,África,Emisiones (CO2),Emisiones en tierras agrícolas,2019,mil toneladas,1236063.88
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1990,mil toneladas,2394711.995
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1991,mil toneladas,2393720.521
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1992,mil toneladas,2397056.794
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1993,mil toneladas,2396893.156
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1994,mil toneladas,2398346.213
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1995,mil toneladas,2404064.703
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1996,mil toneladas,2409792.423
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1997,mil toneladas,2411018.845
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1998,mil toneladas,2405487.091
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,1999,mil toneladas,2404326.142
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2000,mil toneladas,2407865.47
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2001,mil toneladas,2516352.624
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2002,mil toneladas,2515618.015
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2003,mil toneladas,2513024.789
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2004,mil toneladas,2527605.546
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2005,mil toneladas,2532276.335
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2006,mil toneladas,2530028.153
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2007,mil toneladas,2522871.045
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2008,mil toneladas,2526282.634
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2009,mil toneladas,2514334.145
Totales de las emisiones,Américas,Emisiones (CO2),Emisiones en tierras agrícolas,2010,mil toneladas,2518641.389
