ISO3,Area,AREA_CONT,Element,Year,Unit,Value,TOTAL,CONS_AGUA_LITROS_DIA,EQUIVALENCIA L/M3,LITROS_TOTAL_POBLACION,M3,M3_YEAR,COBERTURA DE AGUA,PERSONAS_AGUA,
DZA,Algeria,North of Africa,Total Population,2019,1000,43053.054,43053054,47,1000,2023493538,2023493.538,738575141.4,0.3,,
DZA,Algeria,North of Africa,Rural population,2019,1000,11442.587,11442587,47,1000,537801589,537801.589,196297580,0.3,,
DZA,Algeria,North of Africa,Urban population,2019,1000,31236.431,31236431,47,1000,1468112257,1468112.257,535860973.8,0.3,,
DZA,Algeria,North of Africa,Total Population,2020,1000,43851.044,43851044,47,1000,2060999068,2060999.068,752264659.8,0.3,,
DZA,Algeria,North of Africa,Rural population,2020,1000,11382.345,11382345,47,1000,534970215,534970.215,195264128.5,0.3,,
DZA,Algeria,North of Africa,Urban population,2020,1000,31950.91,31950910,47,1000,1501692770,1501692.77,548117861.1,0.3,,
DZA,Algeria,North of Africa,Total Population,2021,1000,44616.624,44616624,47,1000,2096981328,2096981.328,765398184.7,0.3,,
DZA,Algeria,North of Africa,Rural population,2021,1000,11317.455,11317455,47,1000,531920385,531920.385,194150940.5,0.3,,
DZA,Algeria,North of Africa,Urban population,2021,1000,32651.848,32651848,47,1000,1534636856,1534636.856,560142452.4,0.3,,
DZA,Algeria,North of Africa,Total Population,2022,1000,45350.148,45350148,47,1000,2131456956,2131456.956,777981788.9,0.3,,
DZA,Algeria,North of Africa,Rural population,2022,1000,11247.753,11247753,47,1000,528644391,528644.391,192955202.7,0.3,,
DZA,Algeria,North of Africa,Urban population,2022,1000,33336.714,33336714,47,1000,1566825558,1566825.558,571891328.7,0.3,,
DZA,Algeria,North of Africa,Total Population,2023,1000,46053.477,46053477,47,1000,2164513419,2164513.419,790047397.9,0.3,,
DZA,Algeria,North of Africa,Rural population,2023,1000,11173.795,11173795,47,1000,525168365,525168.365,191686453.2,0.3,,
DZA,Algeria,North of Africa,Urban population,2023,1000,34005.054,34005054,47,1000,1598237538,1598237.538,583356701.4,0.3,,
