,Area Code (ISO3),Area,Element,Year,Unit,Value,Series,Value_porcentaje,Value_porcentaje_1,Source
0,DZA,Algeria,Total Population - Both sexes,2017,1000 persons,41389.189,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
1,DZA,Algeria,Total Population - Both sexes,2018,1000 persons,42228.408,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
2,DZA,Algeria,Total Population - Both sexes,2019,1000 persons,43053.054,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
3,DZA,Algeria,Total Population - Both sexes,2020,1000 persons,43851.044,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
4,DZA,Algeria,Total Population - Both sexes,2021,1000 persons,44616.624,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
5,DZA,Algeria,Total Population - Both sexes,2022,1000 persons,45350.148,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
6,DZA,Algeria,Total Population - Both sexes,2023,1000 persons,46053.477,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
7,DZA,Algeria,Total Population - Both sexes,2024,1000 persons,46731.369,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
8,DZA,Algeria,Total Population - Both sexes,2025,1000 persons,47387.618,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
9,DZA,Algeria,Total Population - Both sexes,2026,1000 persons,48022.195,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
10,DZA,Algeria,Total Population - Both sexes,2027,1000 persons,48634.174,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
11,DZA,Algeria,Total Population - Both sexes,2028,1000 persons,49225.942,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
12,DZA,Algeria,Total Population - Both sexes,2029,1000 persons,49800.531,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
13,DZA,Algeria,Total Population - Both sexes,2030,1000 persons,50360.749,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
14,DZA,Algeria,Total Population - Both sexes,2031,1000 persons,50907.944,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
15,DZA,Algeria,Total Population - Both sexes,2032,1000 persons,51443.646,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
16,DZA,Algeria,Total Population - Both sexes,2033,1000 persons,51971.114,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
17,DZA,Algeria,Total Population - Both sexes,2034,1000 persons,52494.087,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
18,DZA,Algeria,Total Population - Both sexes,2035,1000 persons,53015.567,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
19,DZA,Algeria,Total Population - Both sexes,2036,1000 persons,53536.962,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
20,DZA,Algeria,Total Population - Both sexes,2037,1000 persons,54058.973,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
21,DZA,Algeria,Total Population - Both sexes,2038,1000 persons,54582.843,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
22,DZA,Algeria,Total Population - Both sexes,2039,1000 persons,55109.589,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
23,DZA,Algeria,Total Population - Both sexes,2040,1000 persons,55639.766,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
24,DZA,Algeria,Total Population - Both sexes,2041,1000 persons,56173.695,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
25,DZA,Algeria,Total Population - Both sexes,2042,1000 persons,56710.934,Safely managed drinking water sources,0,30,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
