,ISO3,Area,AREA_CONT,Element,Year,Unit,COMPARACION_COBERTURAS,M3,CONS_AGUA_LITROS_DIA,EQUIVALENCIA L/M3,LITROS_TOTAL_POBLACION,M3_YEAR,BASE,Value,COBERTURA DE AGUA,POP
0,,Africa,Sub-Saharan Africa,Total Population,2019,1000,TOTAL,61479017.17,47,1000,61479017165,22439841265,1308064195,1308064.195,0.3,1308064195
1,,Africa,Sub-Saharan Africa,Total Population,2019,1000,ABASTECIDA,61479017.17,47,1000,61479017165,22439841265,1308064195,1308064.195,0.3,392419259
2,,Africa,Sub-Saharan Africa,Total Population,2020,1000,TOTAL,63008112.91,47,1000,63008112909,22997961212,1308064195,1340598.147,0.3,1340598147
3,,Africa,Sub-Saharan Africa,Total Population,2020,1000,ABASTECIDA,63008112.91,47,1000,63008112909,22997961212,1308064195,1340598.147,0.3,392419259
4,,Africa,Sub-Saharan Africa,Total Population,2021,1000,TOTAL,64553866.63,47,1000,64553866628,23562161319,1308064195,1373486.524,0.3,1373486524
5,,Africa,Sub-Saharan Africa,Total Population,2021,1000,ABASTECIDA,64553866.63,47,1000,64553866628,23562161319,1308064195,1373486.524,0.3,392419259
6,,Africa,Sub-Saharan Africa,Total Population,2022,1000,TOTAL,66116250.97,47,1000,66116250968,24132431603,1308064195,1406728.744,0.3,1406728744
7,,Africa,Sub-Saharan Africa,Total Population,2022,1000,ABASTECIDA,66116250.97,47,1000,66116250968,24132431603,1308064195,1406728.744,0.3,392419259
8,,Africa,Sub-Saharan Africa,Total Population,2023,1000,TOTAL,67696612.53,47,1000,67696612526,24709263572,1308064195,1440353.458,0.3,1440353458
9,,Africa,Sub-Saharan Africa,Total Population,2023,1000,ABASTECIDA,67696612.53,47,1000,67696612526,24709263572,1308064195,1440353.458,0.3,392419259
10,,Africa,Sub-Saharan Africa,Total Population,2024,1000,TOTAL,69297290.96,47,1000,69297290962,25293511201,1308064195,1474410.446,0.3,1474410446
11,,Africa,Sub-Saharan Africa,Total Population,2024,1000,ABASTECIDA,69297290.96,47,1000,69297290962,25293511201,1308064195,1474410.446,0.3,392419259
12,,Africa,Sub-Saharan Africa,Total Population,2025,1000,TOTAL,70919955.25,47,1000,70919955246,25885783665,1308064195,1508935.218,0.3,1508935218
