,ISO3,Area,AREA_CONT,Element,Year,Unit,COCBERTURA_SINCOBERTURA,TOTAL,LITROS_TOTAL_POBLACION,Value,M3,M3_YEAR,COBERTURA DE AGUA,2019_POP_INICIAL,CONS_AGUA_LITROS_DIA,EQUIVALENCIA L/M3,POBLACION
0,DZA,Algeria,North of Africa,Total Population,2019,1000,CON_AGUA,43053054,2023493538,43053.054,2023493.538,738575141.4,0.3,43053054,47,1000,12915916
1,DZA,Algeria,North of Africa,Total Population,2019,1000,SINAGUA,43053054,2023493538,43053.054,2023493.538,738575141.4,0.3,43053054,47,1000,30137138
2,DZA,Algeria,North of Africa,Total Population,2020,1000,CON_AGUA,43851044,2060999068,43851.044,2060999.068,752264659.8,0.3,43053054,47,1000,12915916
3,DZA,Algeria,North of Africa,Total Population,2020,1000,SINAGUA,43851044,2060999068,43851.044,2060999.068,752264659.8,0.3,43053054,47,1000,30935128
4,DZA,Algeria,North of Africa,Total Population,2021,1000,CON_AGUA,44616624,2096981328,44616.624,2096981.328,765398184.7,0.3,43053054,47,1000,12915916
5,DZA,Algeria,North of Africa,Total Population,2021,1000,SINAGUA,44616624,2096981328,44616.624,2096981.328,765398184.7,0.3,43053054,47,1000,31700708
6,DZA,Algeria,North of Africa,Total Population,2022,1000,CON_AGUA,45350148,2131456956,45350.148,2131456.956,777981788.9,0.3,43053054,47,1000,12915916
7,DZA,Algeria,North of Africa,Total Population,2022,1000,SINAGUA,45350148,2131456956,45350.148,2131456.956,777981788.9,0.3,43053054,47,1000,32434232
8,DZA,Algeria,North of Africa,Total Population,2023,1000,CON_AGUA,46053477,2164513419,46053.477,2164513.419,790047397.9,0.3,43053054,47,1000,12915916
9,DZA,Algeria,North of Africa,Total Population,2023,1000,SINAGUA,46053477,2164513419,46053.477,2164513.419,790047397.9,0.3,43053054,47,1000,33137561
10,DZA,Algeria,North of Africa,Total Population,2024,1000,CON_AGUA,46731369,2196374343,46731.369,2196374.343,801676635.2,0.3,43053054,47,1000,12915916
11,DZA,Algeria,North of Africa,Total Population,2024,1000,SINAGUA,46731369,2196374343,46731.369,2196374.343,801676635.2,0.3,43053054,47,1000,33815453
12,DZA,Algeria,North of Africa,Total Population,2025,1000,CON_AGUA,47387618,2227218046,47387.618,2227218.046,812934586.8,0.3,43053054,47,1000,12915916
13,DZA,Algeria,North of Africa,Total Population,2025,1000,SINAGUA,47387618,2227218046,47387.618,2227218.046,812934586.8,0.3,43053054,47,1000,34471702
14,DZA,Algeria,North of Africa,Total Population,2026,1000,CON_AGUA,48022195,2257043165,48022.195,2257043.165,823820755.2,0.3,43053054,47,1000,12915916
15,DZA,Algeria,North of Africa,Total Population,2026,1000,SINAGUA,48022195,2257043165,48022.195,2257043.165,823820755.2,0.3,43053054,47,1000,35106279
16,DZA,Algeria,North of Africa,Total Population,2027,1000,CON_AGUA,48634174,2285806178,48634.174,2285806.178,834319255,0.3,43053054,47,1000,12915916
17,DZA,Algeria,North of Africa,Total Population,2027,1000,SINAGUA,48634174,2285806178,48634.174,2285806.178,834319255,0.3,43053054,47,1000,35718258
18,DZA,Algeria,North of Africa,Total Population,2028,1000,CON_AGUA,49225942,2313619274,49225.942,2313619.274,844471035,0.3,43053054,47,1000,12915916
19,DZA,Algeria,North of Africa,Total Population,2028,1000,SINAGUA,49225942,2313619274,49225.942,2313619.274,844471035,0.3,43053054,47,1000,36310026
20,DZA,Algeria,North of Africa,Total Population,2029,1000,CON_AGUA,49800531,2340624957,49800.531,2340624.957,854328109.3,0.3,43053054,47,1000,12915916
21,DZA,Algeria,North of Africa,Total Population,2029,1000,SINAGUA,49800531,2340624957,49800.531,2340624.957,854328109.3,0.3,43053054,47,1000,36884615
22,DZA,Algeria,North of Africa,Total Population,2030,1000,CON_AGUA,50360749,2366955203,50360.749,2366955.203,863938649.1,0.3,43053054,47,1000,12915916
23,DZA,Algeria,North of Africa,Total Population,2030,1000,SINAGUA,50360749,2366955203,50360.749,2366955.203,863938649.1,0.3,43053054,47,1000,37444833
24,DZA,Algeria,North of Africa,Total Population,2031,1000,CON_AGUA,50907944,2392673368,50907.944,2392673.368,873325779.3,0.3,43053054,47,1000,12915916
25,DZA,Algeria,North of Africa,Total Population,2031,1000,SINAGUA,50907944,2392673368,50907.944,2392673.368,873325779.3,0.3,43053054,47,1000,37992028
26,DZA,Algeria,North of Africa,Total Population,2032,1000,CON_AGUA,51443646,2417851362,51443.646,2417851.362,882515747.1,0.3,43053054,47,1000,12915916
27,DZA,Algeria,North of Africa,Total Population,2032,1000,SINAGUA,51443646,2417851362,51443.646,2417851.362,882515747.1,0.3,43053054,47,1000,38527730
28,DZA,Algeria,North of Africa,Total Population,2033,1000,CON_AGUA,51971114,2442642358,51971.114,2442642.358,891564460.7,0.3,43053054,47,1000,12915916
29,DZA,Algeria,North of Africa,Total Population,2033,1000,SINAGUA,51971114,2442642358,51971.114,2442642.358,891564460.7,0.3,43053054,47,1000,39055198
30,DZA,Algeria,North of Africa,Total Population,2034,1000,CON_AGUA,52494087,2467222089,52494.087,2467222.089,900536062.5,0.3,43053054,47,1000,12915916
31,DZA,Algeria,North of Africa,Total Population,2034,1000,SINAGUA,52494087,2467222089,52494.087,2467222.089,900536062.5,0.3,43053054,47,1000,39578171
32,DZA,Algeria,North of Africa,Total Population,2035,1000,CON_AGUA,53015567,2491731649,53015.567,2491731.649,909482051.9,0.3,43053054,47,1000,12915916
33,DZA,Algeria,North of Africa,Total Population,2035,1000,SINAGUA,53015567,2491731649,53015.567,2491731.649,909482051.9,0.3,43053054,47,1000,40099651
34,DZA,Algeria,North of Africa,Total Population,2036,1000,CON_AGUA,53536962,2516237214,53536.962,2516237.214,918426583.1,0.3,43053054,47,1000,12915916
35,DZA,Algeria,North of Africa,Total Population,2036,1000,SINAGUA,53536962,2516237214,53536.962,2516237.214,918426583.1,0.3,43053054,47,1000,40621046
36,DZA,Algeria,North of Africa,Total Population,2037,1000,CON_AGUA,54058973,2540771731,54058.973,2540771.731,927381681.8,0.3,43053054,47,1000,12915916
37,DZA,Algeria,North of Africa,Total Population,2037,1000,SINAGUA,54058973,2540771731,54058.973,2540771.731,927381681.8,0.3,43053054,47,1000,41143057
38,DZA,Algeria,North of Africa,Total Population,2038,1000,CON_AGUA,54582843,2565393621,54582.843,2565393.621,936368671.7,0.3,43053054,47,1000,12915916
39,DZA,Algeria,North of Africa,Total Population,2038,1000,SINAGUA,54582843,2565393621,54582.843,2565393.621,936368671.7,0.3,43053054,47,1000,41666927
40,DZA,Algeria,North of Africa,Total Population,2039,1000,CON_AGUA,55109589,2590150683,55109.589,2590150.683,945404999.3,0.3,43053054,47,1000,12915916
41,DZA,Algeria,North of Africa,Total Population,2039,1000,SINAGUA,55109589,2590150683,55109.589,2590150.683,945404999.3,0.3,43053054,47,1000,42193673
42,DZA,Algeria,North of Africa,Total Population,2040,1000,CON_AGUA,55639766,2615069002,55639.766,2615069.002,954500185.7,0.3,43053054,47,1000,12915916
43,DZA,Algeria,North of Africa,Total Population,2040,1000,SINAGUA,55639766,2615069002,55639.766,2615069.002,954500185.7,0.3,43053054,47,1000,42723850
44,DZA,Algeria,North of Africa,Total Population,2041,1000,CON_AGUA,56173695,2640163665,56173.695,2640163.665,963659737.7,0.3,43053054,47,1000,12915916
45,DZA,Algeria,North of Africa,Total Population,2041,1000,SINAGUA,56173695,2640163665,56173.695,2640163.665,963659737.7,0.3,43053054,47,1000,43257779
46,DZA,Algeria,North of Africa,Total Population,2042,1000,CON_AGUA,56710934,2665413898,56710.934,2665413.898,972876072.8,0.3,43053054,47,1000,12915916
47,DZA,Algeria,North of Africa,Total Population,2042,1000,SINAGUA,56710934,2665413898,56710.934,2665413.898,972876072.8,0.3,43053054,47,1000,43795018
48,DZA,Algeria,North of Africa,Total Population,2043,1000,CON_AGUA,57250034,2690751598,57250.034,2690751.598,982124333.3,0.3,43053054,47,1000,12915916
49,DZA,Algeria,North of Africa,Total Population,2043,1000,SINAGUA,57250034,2690751598,57250.034,2690751.598,982124333.3,0.3,43053054,47,1000,44334118
50,DZA,Algeria,North of Africa,Total Population,2044,1000,CON_AGUA,57788898,2716078206,57788.898,2716078.206,991368545.2,0.3,43053054,47,1000,12915916
51,DZA,Algeria,North of Africa,Total Population,2044,1000,SINAGUA,57788898,2716078206,57788.898,2716078.206,991368545.2,0.3,43053054,47,1000,44872982
52,DZA,Algeria,North of Africa,Total Population,2045,1000,CON_AGUA,58325558,2741301226,58325.558,2741301.226,1000574947,0.3,43053054,47,1000,12915916
53,DZA,Algeria,North of Africa,Total Population,2045,1000,SINAGUA,58325558,2741301226,58325.558,2741301.226,1000574947,0.3,43053054,47,1000,45409642
54,DZA,Algeria,North of Africa,Total Population,2046,1000,CON_AGUA,58859116,2766378452,58859.116,2766378.452,1009728135,0.3,43053054,47,1000,12915916
55,DZA,Algeria,North of Africa,Total Population,2046,1000,SINAGUA,58859116,2766378452,58859.116,2766378.452,1009728135,0.3,43053054,47,1000,45943200
56,DZA,Algeria,North of Africa,Total Population,2047,1000,CON_AGUA,59388439,2791256633,59388.439,2791256.633,1018808671,0.3,43053054,47,1000,12915916
57,DZA,Algeria,North of Africa,Total Population,2047,1000,SINAGUA,59388439,2791256633,59388.439,2791256.633,1018808671,0.3,43053054,47,1000,46472523
58,DZA,Algeria,North of Africa,Total Population,2048,1000,CON_AGUA,59910910,2815812770,59910.91,2815812.77,1027771661,0.3,43053054,47,1000,12915916
59,DZA,Algeria,North of Africa,Total Population,2048,1000,SINAGUA,59910910,2815812770,59910.91,2815812.77,1027771661,0.3,43053054,47,1000,46994994
60,DZA,Algeria,North of Africa,Total Population,2049,1000,CON_AGUA,60423428,2839901116,60423.428,2839901.116,1036563907,0.3,43053054,47,1000,12915916
61,DZA,Algeria,North of Africa,Total Population,2049,1000,SINAGUA,60423428,2839901116,60423.428,2839901.116,1036563907,0.3,43053054,47,1000,47507512
62,DZA,Algeria,North of Africa,Total Population,2050,1000,CON_AGUA,60923386,2863399142,60923.386,2863399.142,1045140687,0.3,43053054,47,1000,12915916
63,DZA,Algeria,North of Africa,Total Population,2050,1000,SINAGUA,60923386,2863399142,60923.386,2863399.142,1045140687,0.3,43053054,47,1000,48007470
64,AGO,Angola,Sub-Saharan Africa,Total Population,2019,1000,CON_AGUA,31825295,1495788865,31825.295,1495788.865,545962935.7,0.3,31825295,47,1000,9547589
65,AGO,Angola,Sub-Saharan Africa,Total Population,2019,1000,SINAGUA,31825295,1495788865,31825.295,1495788.865,545962935.7,0.3,31825295,47,1000,22277706
66,AGO,Angola,Sub-Saharan Africa,Total Population,2020,1000,CON_AGUA,32866272,1544714784,32866.272,1544714.784,563820896.2,0.3,31825295,47,1000,9547589
67,AGO,Angola,Sub-Saharan Africa,Total Population,2020,1000,SINAGUA,32866272,1544714784,32866.272,1544714.784,563820896.2,0.3,31825295,47,1000,23318683
68,AGO,Angola,Sub-Saharan Africa,Total Population,2021,1000,CON_AGUA,33933610,1594879670,33933.61,1594879.67,582131079.6,0.3,31825295,47,1000,9547589
69,AGO,Angola,Sub-Saharan Africa,Total Population,2021,1000,SINAGUA,33933610,1594879670,33933.61,1594879.67,582131079.6,0.3,31825295,47,1000,24386021
70,AGO,Angola,Sub-Saharan Africa,Total Population,2022,1000,CON_AGUA,35027343,1646285121,35027.343,1646285.121,600894069.2,0.3,31825295,47,1000,9547589
71,AGO,Angola,Sub-Saharan Africa,Total Population,2022,1000,SINAGUA,35027343,1646285121,35027.343,1646285.121,600894069.2,0.3,31825295,47,1000,25479754
72,AGO,Angola,Sub-Saharan Africa,Total Population,2023,1000,CON_AGUA,36148631,1698985657,36148.631,1698985.657,620129764.8,0.3,31825295,47,1000,9547589
73,AGO,Angola,Sub-Saharan Africa,Total Population,2023,1000,SINAGUA,36148631,1698985657,36148.631,1698985.657,620129764.8,0.3,31825295,47,1000,26601042
74,AGO,Angola,Sub-Saharan Africa,Total Population,2024,1000,CON_AGUA,37298623,1753035281,37298.623,1753035.281,639857877.6,0.3,31825295,47,1000,9547589
75,AGO,Angola,Sub-Saharan Africa,Total Population,2024,1000,SINAGUA,37298623,1753035281,37298.623,1753035.281,639857877.6,0.3,31825295,47,1000,27751034
76,AGO,Angola,Sub-Saharan Africa,Total Population,2025,1000,CON_AGUA,38478226,1808476622,38478.226,1808476.622,660093967,0.3,31825295,47,1000,9547589
77,AGO,Angola,Sub-Saharan Africa,Total Population,2025,1000,SINAGUA,38478226,1808476622,38478.226,1808476.622,660093967,0.3,31825295,47,1000,28930637
78,AGO,Angola,Sub-Saharan Africa,Total Population,2026,1000,CON_AGUA,39688095,1865340465,39688.095,1865340.465,680849269.7,0.3,31825295,47,1000,9547589
79,AGO,Angola,Sub-Saharan Africa,Total Population,2026,1000,SINAGUA,39688095,1865340465,39688.095,1865340.465,680849269.7,0.3,31825295,47,1000,30140506
80,AGO,Angola,Sub-Saharan Africa,Total Population,2027,1000,CON_AGUA,40928613,1923644811,40928.613,1923644.811,702130356,0.3,31825295,47,1000,9547589
81,AGO,Angola,Sub-Saharan Africa,Total Population,2027,1000,SINAGUA,40928613,1923644811,40928.613,1923644.811,702130356,0.3,31825295,47,1000,31381024
82,AGO,Angola,Sub-Saharan Africa,Total Population,2028,1000,CON_AGUA,42199941,1983397227,42199.941,1983397.227,723939987.9,0.3,31825295,47,1000,9547589
83,AGO,Angola,Sub-Saharan Africa,Total Population,2028,1000,SINAGUA,42199941,1983397227,42199.941,1983397.227,723939987.9,0.3,31825295,47,1000,32652352
84,AGO,Angola,Sub-Saharan Africa,Total Population,2029,1000,CON_AGUA,43502001,2044594047,43502.001,2044594.047,746276827.2,0.3,31825295,47,1000,9547589
85,AGO,Angola,Sub-Saharan Africa,Total Population,2029,1000,SINAGUA,43502001,2044594047,43502.001,2044594.047,746276827.2,0.3,31825295,47,1000,33954412
86,AGO,Angola,Sub-Saharan Africa,Total Population,2030,1000,CON_AGUA,44834712,2107231464,44834.712,2107231.464,769139484.4,0.3,31825295,47,1000,9547589
87,AGO,Angola,Sub-Saharan Africa,Total Population,2030,1000,SINAGUA,44834712,2107231464,44834.712,2107231.464,769139484.4,0.3,31825295,47,1000,35287123
88,AGO,Angola,Sub-Saharan Africa,Total Population,2031,1000,CON_AGUA,46198249,2171317703,46198.249,2171317.703,792530961.6,0.3,31825295,47,1000,9547589
89,AGO,Angola,Sub-Saharan Africa,Total Population,2031,1000,SINAGUA,46198249,2171317703,46198.249,2171317.703,792530961.6,0.3,31825295,47,1000,36650660
90,AGO,Angola,Sub-Saharan Africa,Total Population,2032,1000,CON_AGUA,47592559,2236850273,47592.559,2236850.273,816450349.6,0.3,31825295,47,1000,9547589
91,AGO,Angola,Sub-Saharan Africa,Total Population,2032,1000,SINAGUA,47592559,2236850273,47592.559,2236850.273,816450349.6,0.3,31825295,47,1000,38044970
92,AGO,Angola,Sub-Saharan Africa,Total Population,2033,1000,CON_AGUA,49016969,2303797543,49016.969,2303797.543,840886103.2,0.3,31825295,47,1000,9547589
93,AGO,Angola,Sub-Saharan Africa,Total Population,2033,1000,SINAGUA,49016969,2303797543,49016.969,2303797.543,840886103.2,0.3,31825295,47,1000,39469380
94,AGO,Angola,Sub-Saharan Africa,Total Population,2034,1000,CON_AGUA,50470545,2372115615,50470.545,2372115.615,865822199.5,0.3,31825295,47,1000,9547589
95,AGO,Angola,Sub-Saharan Africa,Total Population,2034,1000,SINAGUA,50470545,2372115615,50470.545,2372115.615,865822199.5,0.3,31825295,47,1000,40922956
96,AGO,Angola,Sub-Saharan Africa,Total Population,2035,1000,CON_AGUA,51952545,2441769615,51952.545,2441769.615,891245909.5,0.3,31825295,47,1000,9547589
97,AGO,Angola,Sub-Saharan Africa,Total Population,2035,1000,SINAGUA,51952545,2441769615,51952.545,2441769.615,891245909.5,0.3,31825295,47,1000,42404956
98,AGO,Angola,Sub-Saharan Africa,Total Population,2036,1000,CON_AGUA,53462489,2512736983,53462.489,2512736.983,917148998.8,0.3,31825295,47,1000,9547589
