,ISO3,Meses_x,YEAR_x,Unidad_x,Var_Temperatura,Simbolo_x,Latitud,Longitud
0,AFG,Enero,2020,°C,-0.472,Fc,34.5328,69.1658
1,AFG,Enero,2020,°C,-0.472,Fc,31.6078,65.7053
2,AFG,Enero,2020,°C,-0.472,Fc,34.3738,62.1792
3,AFG,Enero,2020,°C,-0.472,Fc,36.7,67.1167
4,AFG,Enero,2020,°C,-0.472,Fc,36.728,68.8725
5,AFG,Enero,2020,°C,-0.472,Fc,34.4303,70.4528
6,AFG,Enero,2020,°C,-0.472,Fc,31.5938,64.3716
7,AFG,Enero,2020,°C,-0.472,Fc,35.9302,64.7701
8,AFG,Enero,2020,°C,-0.472,Fc,36.665,65.752
9,AFG,Enero,2020,°C,-0.472,Fc,33.3333,69.9167
10,AFG,Enero,2020,°C,-0.472,Fc,33.5492,68.4233
11,AFG,Enero,2020,°C,-0.472,Fc,35.95,68.7
12,AFG,Enero,2020,°C,-0.472,Fc,36.7167,69.5167
13,AFG,Enero,2020,°C,-0.472,Fc,32.3436,62.1194
14,AFG,Enero,2020,°C,-0.472,Fc,33.5931,69.2297
15,AFG,Enero,2020,°C,-0.472,Fc,37.1298,70.5792
16,AFG,Enero,2020,°C,-0.472,Fc,34.8167,67.8167
17,AFG,Enero,2020,°C,-0.472,Fc,35.0183,69.1679
18,AFG,Enero,2020,°C,-0.472,Fc,36.2214,65.9278
19,AFG,Enero,2020,°C,-0.472,Fc,30.96,61.86
20,AFG,Enero,2020,°C,-0.472,Fc,34.8742,71.1528
21,AFG,Enero,2020,°C,-0.472,Fc,34.3972,68.8697
22,AFG,Enero,2020,°C,-0.472,Fc,34.65,70.1833
23,AFG,Enero,2020,°C,-0.472,Fc,34.5225,65.2517
24,AFG,Enero,2020,°C,-0.472,Fc,32.1061,66.9069
25,AFG,Enero,2020,°C,-0.472,Fc,32.6333,65.8667
26,AFG,Enero,2020,°C,-0.472,Fc,35.0167,69.3333
27,AFG,Enero,2020,°C,-0.472,Fc,34.99,63.12
28,AFG,Enero,2020,°C,-0.472,Fc,36.2534,68.0394
29,AFG,Enero,2020,°C,-0.472,Fc,33.9953,69.0227
30,AFG,Enero,2020,°C,-0.472,Fc,33.1757,68.7304
31,AFG,Enero,2020,°C,-0.472,Fc,33.7218,66.1302
32,AFG,Enero,2020,°C,-0.472,Fc,35.3129,69.5152
33,AFG,Enero,2020,°C,-0.472,Fc,35.4206,70.9226
34,AFG,Enero,2020,°C,-0.472,Fc,36.7581,66.8989
35,AFG,Enero,2020,°C,-0.472,Fc,36.1328,68.7
36,AFG,Enero,2020,°C,-0.472,Fc,34.45,68.8
37,AFG,Enero,2020,°C,-0.472,Fc,36.6833,67.6833
38,AFG,Enero,2020,°C,-0.472,Fc,36.6831,69.1636
39,AFG,Enero,2020,°C,-0.472,Fc,33.9667,68.9667
40,AFG,Enero,2020,°C,-0.472,Fc,37.015,68.4672
41,AFG,Enero,2020,°C,-0.472,Fc,34.4868,62.5918
42,AFG,Enero,2020,°C,-0.472,Fc,32.85,68.4167
43,AFG,Enero,2020,°C,-0.472,Fc,36.95,65.1167
44,AFG,Enero,2020,°C,-0.472,Fc,36.3172,66.8747
45,ALB,Enero,2020,°C,1.157,Fc,41.33,19.82
46,ALB,Enero,2020,°C,1.157,Fc,41.3167,19.45
47,ALB,Enero,2020,°C,1.157,Fc,40.45,19.4833
48,ALB,Enero,2020,°C,1.157,Fc,41.3833,19.7667
49,ALB,Enero,2020,°C,1.157,Fc,40.7167,19.55
50,ALB,Enero,2020,°C,1.157,Fc,42.0667,19.5
51,ALB,Enero,2020,°C,1.157,Fc,41.1125,20.0822
52,ALB,Enero,2020,°C,1.157,Fc,40.6167,20.7667
53,ALB,Enero,2020,°C,1.157,Fc,40.7049,19.9497
54,ALB,Enero,2020,°C,1.157,Fc,40.0758,20.1389
55,ALB,Enero,2020,°C,1.157,Fc,41.7805,19.6434
56,ALB,Enero,2020,°C,1.157,Fc,42.0758,20.4231
57,ALB,Enero,2020,°C,1.157,Fc,41.6831,20.4289
58,ALB,Enero,2020,°C,1.157,Fc,39.8833,20.0167
59,ALB,Enero,2020,°C,1.157,Fc,40.9333,19.7
60,ALB,Enero,2020,°C,1.157,Fc,41.1833,19.55
61,ALB,Enero,2020,°C,1.157,Fc,40.9,20.65
62,ALB,Enero,2020,°C,1.157,Fc,41.4833,19.7167
63,ALB,Enero,2020,°C,1.157,Fc,41.6353,19.7131
64,ALB,Enero,2020,°C,1.157,Fc,41.3833,19.5333
65,ALB,Enero,2020,°C,1.157,Fc,40.6841,19.6194
66,ALB,Enero,2020,°C,1.157,Fc,41.1969,20.3356
67,ALB,Enero,2020,°C,1.157,Fc,40.8039,19.9144
68,ALB,Enero,2020,°C,1.157,Fc,41.5178,19.7978
69,ALB,Enero,2020,°C,1.157,Fc,41.6,20
70,ALB,Enero,2020,°C,1.157,Fc,41.3939,19.6544
71,ALB,Enero,2020,°C,1.157,Fc,40.8667,20.1833
72,ALB,Enero,2020,°C,1.157,Fc,41.3456,19.5672
73,ALB,Enero,2020,°C,1.157,Fc,40.75,20.7167
74,ALB,Enero,2020,°C,1.157,Fc,40.9833,19.8833
75,ALB,Enero,2020,°C,1.157,Fc,41.7667,19.8833
76,ALB,Enero,2020,°C,1.157,Fc,40.5991,19.7359
77,ALB,Enero,2020,°C,1.157,Fc,41.5775,19.6922
78,ALB,Enero,2020,°C,1.157,Fc,40.9964,19.5327
79,ALB,Enero,2020,°C,1.157,Fc,41.5,20.2167
80,ALB,Enero,2020,°C,1.157,Fc,41.8136,19.5939
81,ALB,Enero,2020,°C,1.157,Fc,42,19.6333
82,ALB,Enero,2020,°C,1.157,Fc,41.0761,19.6667
83,ALB,Enero,2020,°C,1.157,Fc,41.05,19.75
84,ALB,Enero,2020,°C,1.157,Fc,40.6275,20.99
85,ALB,Enero,2020,°C,1.157,Fc,41.1833,20.3167
86,ALB,Enero,2020,°C,1.157,Fc,41.0333,19.9833
87,ALB,Enero,2020,°C,1.157,Fc,40.7375,19.7022
88,ALB,Enero,2020,°C,1.157,Fc,40.2333,20.35
89,ALB,Enero,2020,°C,1.157,Fc,41.0667,20.55
90,ALB,Enero,2020,°C,1.157,Fc,42.1961,20.4146
91,ALB,Enero,2020,°C,1.157,Fc,39.9494,20.0958
92,ALB,Enero,2020,°C,1.157,Fc,42.3582,20.076
93,ALB,Enero,2020,°C,1.157,Fc,40.3,20.0167
94,ALB,Enero,2020,°C,1.157,Fc,40.3333,20.6833
95,ALB,Enero,2020,°C,1.157,Fc,40.5042,20.2272
96,ALB,Enero,2020,°C,1.157,Fc,42.05,19.9
97,DEU,Enero,2020,°C,4.364,Fc,52.5167,13.3833
98,DEU,Enero,2020,°C,4.364,Fc,53.55,10
99,DEU,Enero,2020,°C,4.364,Fc,48.1372,11.5755
100,DEU,Enero,2020,°C,4.364,Fc,50.9422,6.9578
101,DEU,Enero,2020,°C,4.364,Fc,50.1136,8.6797
102,DEU,Enero,2020,°C,4.364,Fc,53.1153,8.7975
103,DEU,Enero,2020,°C,4.364,Fc,51.2311,6.7724
104,DEU,Enero,2020,°C,4.364,Fc,48.7761,9.1775
105,DEU,Enero,2020,°C,4.364,Fc,51.3333,12.3833
106,DEU,Enero,2020,°C,4.364,Fc,51.5139,7.4653
107,DEU,Enero,2020,°C,4.364,Fc,51.4508,7.0131
108,DEU,Enero,2020,°C,4.364,Fc,51.05,13.74
109,DEU,Enero,2020,°C,4.364,Fc,52.3744,9.7386
110,DEU,Enero,2020,°C,4.364,Fc,49.4539,11.0775
111,DEU,Enero,2020,°C,4.364,Fc,51.4322,6.7611
112,DEU,Enero,2020,°C,4.364,Fc,51.4833,7.2167
113,DEU,Enero,2020,°C,4.364,Fc,51.2667,7.1833
114,DEU,Enero,2020,°C,4.364,Fc,52.0167,8.5333
115,DEU,Enero,2020,°C,4.364,Fc,50.7339,7.0997
116,DEU,Enero,2020,°C,4.364,Fc,51.9625,7.6256
117,DEU,Enero,2020,°C,4.364,Fc,49.0167,8.4
118,DEU,Enero,2020,°C,4.364,Fc,49.4878,8.4661
119,DEU,Enero,2020,°C,4.364,Fc,48.3717,10.8983
120,DEU,Enero,2020,°C,4.364,Fc,51.3166,9.4912
121,DEU,Enero,2020,°C,4.364,Fc,50.0825,8.24
122,DEU,Enero,2020,°C,4.364,Fc,51.5167,7.1
123,DEU,Enero,2020,°C,4.364,Fc,51.2,6.4333
124,DEU,Enero,2020,°C,4.364,Fc,52.2692,10.5211
